"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aus Gov","Aust"
"13A.37","2014","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","24.9","25.2","28.8","26.1","24.4","31.6","24.1","22.8","","","25.9"
"13A.37","2014","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","21.0","20.6","20.9","22.9","22.1","21.6","23.3","30.7","","","21.3"
"13A.37","2014","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Psychologists","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","17.9","17.6","13.8","16.6","19.4","18.0","16.4","20.1","","","17.0"
"13A.37","2014","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","27.2","35.6","31.6","26.0","31.8","7.1","30.8","30.0","","","30.4"
"13A.37","2014","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","35.8","29.5","35.6","30.7","34.4","28.6","26.9","20.0","","","32.8"
"13A.37","2014","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","21.5","19.3","19.9","20.5","19.9","39.3","11.5","30.0","","","20.4"
"13A.37","2014","Sustainability of mental health workforce","50-59 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","50-59 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","13.7","11.8","10.7","14.2","12.6","10.7","19.2","10.0","","","12.6"
"13A.37","2014","Sustainability of mental health workforce","60+ years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Other allied health practitioners","60+ years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Allied health practitioners","%","1.8","3.7","2.2","8.7","1.3","14.3","11.5","10.0","","","3.8"
"13A.37","2013","Sustainability of mental health workforce","<30 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","<30 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","0.9","2.9","1.3","5.0","4.4","1.4","..","..","","","2.3"
"13A.37","2013","Sustainability of mental health workforce","30-39 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","30-39 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","14.5","22.4","21.4","21.1","17.8","17.8","22.8","9.1","","","19.2"
"13A.37","2013","Sustainability of mental health workforce","40-49 years old","All people","All people","All areas","","Proportion of full-time equivalent (FTE) medical practitioners (including psychiatrists); mental health nurses; registered psychologists and other allied mental health practitioners in ten year age brackets;","","","Medical practitioners","40-49 years old","","","Australian Government Department of Health and Aged Care (unpublished) National Health Workforce Datasets: Medical Practitioners","%","28.5","27.4","30.5","29.4","23.2","23.3","24.6","27.3","","","28.0"
